current_time, risk, prob_collision, distance_to_poc, time_to_poc, current_speed, current_lat, current_lon, 
621702253757286, No Risk, 0.0779769732691201, 30.7383028720538,621702270.964424,1.786151109568, 50.3646863333333, 7.5722195, 
621702254262991, No Risk, 0.071251894922658, 30.7047846883613,621702271.451401,1.786151109568, 50.3646863333333, 7.5722195, 
621702254763096, No Risk, 0.209237693428884, 28.009377791929,621702265.395072,2.63395555328, 50.3646725, 7.5721885, 
621702255263395, No Risk, 0.0396087107331623, 63.221332584703,621702279.263775,2.63395555328, 50.3646725, 7.5721885, 
621702255763543, No Risk, 0.173699635752091, 27.5101280938781,621702266.205927,2.63395555328, 50.3646725, 7.5721885, 
621702256763962, Warning, 0.469952608143171, 16.1166124785931,621702261.767275,3.219907774996, 50.3646253333333, 7.57205833333333, 
621702257264272, No Risk, 0.347729397925398, 15.3956410140875,621702262.043641,3.219907774996, 50.3646253333333, 7.57205833333333, 
621702257764364, No Risk, 0.321280457242252, 13.0394518900575,621702261.209035,3.783224441176, 50.3646191666667, 7.572027, 
621702259765392, No Risk, 0.235999947896969, 4.39390865732983,621702263.0829,1.323665554412, 50.3646, 7.57195033333333, 
621702263769574, No Risk, 0.236933297575606, 2.09246918640315,621702266.527137,0.758291110456, 50.364591, 7.57193483333333, 
621702264270016, No Risk, 0.310561371927228, 2.09246918640315,621702267.027448,0.758291110456, 50.364591, 7.57193483333333, 
621702264771367, No Risk, 0.210850694243711, 0.999177528650009,621702266.086843,0.758291110456, 50.3645851666667, 7.5719215, 
621702265272030, No Risk, 0.267228745051864, 0.999177528650009,621702266.587133,0.758291110456, 50.3645851666667, 7.5719215, 
621702287879602, No Risk, 0.224352447232855, 29.0020927266142,621702301.903616,2.067552220436, 50.3646581666667, 7.57223366666667, 
621702288379361, No Risk, 0.135610988789496, 29.0545702120721,621702302.429289,2.067552220436, 50.3646581666667, 7.57223366666667, 
621702288879135, No Risk, 0.124490731351407, 27.1532782840339,621702302.009959,2.067552220436, 50.3646485, 7.57220833333333, 
621702289379361, No Risk, 0.108226374535638, 27.0174457113215,621702302.444411,2.067552220436, 50.3646485, 7.57220833333333, 
621702289879485, No Risk, 0.253518347211611, 24.1930139332219,621702297.501729,3.173093330592, 50.3646366666667, 7.572177, 
621702290380231, No Risk, 0.207172576152198, 23.9597148225981,621702297.928467,3.173093330592, 50.3646366666667, 7.572177, 
621702290879933, No Risk, 0.2297936499588, 20.0166480958563,621702297.635214,2.962171108552, 50.3646216666667, 7.57213433333333, 
621702291380251, No Risk, 0.186835755767239, 20.0166480958563,621702298.135496,2.962171108552, 50.3646216666667, 7.57213433333333, 
621702291880347, No Risk, 0.287532864393041, 15.7536379472095,621702297.051006,3.04551110848, 50.3646085, 7.57209816666667, 
621702292380636, No Risk, 0.315780871036542, 14.5063339513358,621702297.141684,3.04551110848, 50.3646085, 7.57209816666667, 
621702292880969, No Risk, 0.323229134813616, 11.5095922184278,621702296.65794,3.04551110848, 50.3645951666667, 7.57206233333333, 
621702293381916, No Risk, 0.347121459373595, 10.365069352723,621702296.782518,3.04551110848, 50.3645951666667, 7.57206233333333, 
621702293882582, Warning, 0.580565758667558, 6.45350745042828,621702295.982306,3.06866110846, 50.3645833333333, 7.57202716666667, 
621702294384129, No Risk, 0.367245269531617, 6.45350745042828,621702296.482565,3.06866110846, 50.3645833333333, 7.57202716666667, 
621702294881841, Collision, 0.864879756094367, 3.55787982877425,621702296.361891,2.400397775704, 50.3645758333333, 7.57200233333333, 
621702295406221, Warning, 0.476074128245347, 3.43980688148729,621702296.832566,2.400397775704, 50.3645758333333, 7.57200233333333, 
621702295903224, No Risk, 0.0708137391252905, 1.53521515455037,621702296.539169,2.400397775704, 50.3645663333333, 7.57198316666667, 
621702296404738, No Risk, 0.076220096672388, 1.53521515455037,621702297.039996,2.400397775704, 50.3645663333333, 7.57198316666667, 
621702296904612, No Risk, 0.105135204250062, 1.21178953064457,621702304.125849,0.167708888744, 50.3645645, 7.57198033333333, 
621702297403917, No Risk, 0.117490342238931, 1.21178953064457,621702304.625961,0.167708888744, 50.3645645, 7.57198033333333, 
621702297935230, No Risk, 0.0616954554860167, 0.486124043588313,621702298.380541,1.081362221288, 50.3645616666667, 7.57197083333333, 
621702298433590, No Risk, 0.0657572469357858, 0.486124043588313,621702298.881141,1.081362221288, 50.3645616666667, 7.57197083333333, 
621702318490025, No Risk, 0.126450640070021, 26.6374569713036,621702340.568237,1.20637222118, 50.3646376666667, 7.57225216666667, 
621702319009375, No Risk, 0.262622563967189, 24.8062814871605,621702331.28895,2.01662222048, 50.3646331666667, 7.572235, 
621702319490421, No Risk, 0.172454978338096, 24.7914465949662,621702331.781755,2.01662222048, 50.3646331666667, 7.572235, 
621702319990457, No Risk, 0.403876782022874, 19.6029251176152,621702328.372408,2.33814999798, 50.3646131666667, 7.572173, 
621702320495855, No Risk, 0.326729854268326, 19.411977852945,621702328.791105,2.33814999798, 50.3646131666667, 7.572173, 
621702320991152, Warning, 0.690041144463973, 16.8388426606406,621702326.70034,2.948281108564, 50.3646033333333, 7.57214033333333, 
621702321491992, Warning, 0.45680029575512, 16.7329259867688,621702327.16462,2.948281108564, 50.3646033333333, 7.57214033333333, 
621702321991848, No Risk, 0.419144103620022, 13.6934814277349,621702326.729061,2.889119997504, 50.3645921666667, 7.5720995, 
621702322493321, No Risk, 0.442658249804003, 13.3416567885834,621702327.107539,2.889119997504, 50.3645921666667, 7.5720995, 
